Polish ,Korean (human translations) - (Lara),Korean alternate (human translations) - Austin,Korean Formal (human translations),Korean Informal (human translations),"Korean Machine Translations (""model name"") - Sabina",Formality,Korean Machine Translations (OpenNMT) - Lara,Formality,Korean Machine Translations (Yandex.Translate) - Austin,Formality,English,Sentence Structure,Topic Type,Source (if applicable),,,,,
"Wsparcie społeczne może odgrywać kluczową rolę w utrzymaniu dobrego zdrowia psychicznego, ponieważ silne relacje i więzi z innymi mogą pomóc zminimalizować stres i zapewnić poczucie przynależności",다른 사람과의 강한 관계와 유대감은 스트레스를 완화하고 소속감을 제공하는 데 도움이 되므로 사회적 지원은 좋은 정신 건강을 유지하는 데 핵심적인 역할을 할 수 있다.,,다른 사람과의 강한 관계와 유대감은 스트레스를 완화하고 소속감을 제공하는 데 도움이 되므로 사회적 지원은 좋은 정신 건강을 유지하는 데 핵심적인 역할을 할 수 있습니다.,다른 사람과의 강한 관계와 유대감은 스트레스를 완화하고 소속감을 제공하는 데 도움이 되므로 사회적 지원은 좋은 정신 건강을 유지하는 데 핵심적인 역할을 할 수 있다.,사회적 지원은 정신 건강을 유지하는 데 중요한 역할을 할 수 있기 때문에 강력한 관계와 다른 사람들과의 관계는 스트레스를 최소화하고 속성의 느낌을 제공 할 수 있습니다.,Formal,"사회 지원은 좋은 정신 건강을 유지하는 데 중요한 역할을 할 수 있습니다, 다른 사람들과 강한 관계와 징계로 두려움을 최소화하고 그룹 구성원에게 공감감을 제공 할 수 있습니다.",Formal,사회적 지원은 다른 사람들과의 강한 관계 및 연결이 스트레스를 최소화하고 소속감을 제공하는 데 도움이 될 수 있으므로 좋은 정신 건강을 유지하는 데 중요한 역할을 할 수 있습니다.,Formal,"Social support can play a key role in maintaining good mental health, as having strong relationships and connections with others can help buffer against stress and provide a sense of belonging.",Complex,Health & Wellness,,,,,,
"Badania wykazały, że stosowanie kreatyny może poprawić siłę mięśniową i wytrzymałość w sportach wymagających wysiłku krótkotrwałego, takich jak sprint, skoki czy rzuty.","연구에 따르면 크레아틴 보충제는 단거리 달리기, 점프 또는 던지기와 같은 단기간의 노력이 필요한 스포츠에서 근력과 지구력을 향상시킬 수 있다.",,"연구에 따르면 크레아틴 보충제는 단거리 달리기, 점프 또는 던지기와 같은 단기간의 노력이 필요한 스포츠에서 근력과 지구력을 향상시킬 수 있습니다.","연구에 따르면 크레아틴 보충제는 단거리 달리기, 점프 또는 던지기와 같은 단기간의 노력이 필요한 스포츠에서 근력과 지구력을 향상시킬 수 있다.","연구에 따르면 크레아틴을 사용하면 스프린트, 점프 또는 점프와 같은 짧은 운동을 요구하는 운동에서 근육 강도와 내구성을 향상시킬 수 있습니다.",Formal,"연구에 따르면 근육 강도의 사용은 스프린트, 점프 및 킥과 같은 단기 노력이 필요한 스포츠에서 근육 강도와 내구력을 향상시킬 수 있음을 보여주었다.",Formal,"연구에 따르면 크레아틴을 사용하면 스프린트,점프 또는 런지와 같이 단기적인 노력이 필요한 스포츠에서 근력과 지구력을 향상시킬 수 있습니다.",Formal,"Research has shown that creatine supplementation may improve muscle strength and endurance in sports that require short-term exertion, such as sprinting, jumping, or throwing.",Complex,Health & Wellness,,,,,,
"Badanie wykazało, że suplementacja probiotykami może pomóc w zmniejszeniu objawów zespołu jelita drażliwego.",한 연구에 따르면 프로바이오틱스 보충제가 과민성 대장 증후군의 증상을 줄이는 데 도움이 될 수 있다.,,한 연구에 따르면 프로바이오틱스 보충제가 과민성 대장 증후군의 증상을 줄이는 데 도움이 될 수 있습니다.,한 연구에 따르면 프로바이오틱스 보충제가 과민성 대장 증후군의 증상을 줄이는 데 도움이 될 수 있다.,연구에 따르면 probiotic 보충제는 자극성 장 증후군의 증상을 줄이는 데 도움이 될 수 있습니다.,Formal,Probiotic 보충제가 그룹의 증상을 줄일 수 있음을 발견했습니다.,Formal,한 연구에 따르면 프로바이오틱스를 추가하면 과민성 대장 증후군의 증상을 줄이는 데 도움이 될 수 있습니다.,Formal,A study found that probiotic supplementation may help reduce symptoms of irritable bowel syndrome.,Complex,Health & Wellness,,,,,,
"Nowe odkrycia wskazują, że ekspozycja na naturalne światło słoneczne może pomóc w regulacji rytmu dobowego i poprawie jakości snu.",새로운 발견에 따르면 자연광에 노출되면 일주기 리듬을 조절하고 수면의 질을 개선하는 데 도움이 될 수 있다.,,새로운 발견에 따르면 자연광에 노출되면 일주기 리듬을 조절하고 수면의 질을 개선하는 데 도움이 될 수 있습니다.,새로운 발견에 따르면 자연광에 노출되면 일주기 리듬을 조절하고 수면의 질을 개선하는 데 도움이 될 수 있다.,새로운 발견은 자연 햇빛에 노출되어 일상적인 리듬을 조절하고 잠의 질을 향상시키는 데 도움이 될 수 있음을 나타냅니다.,Formal,새로운 발견은 자연 태양 빛에 노출하는 것이 통나무를 조절하고 수면의 질을 개선하는 데 도움이 될 수 있습니다.,Formal,새로운 결과는 자연 햇빛에 노출되면 일주기 리듬을 조절하고 수면의 질을 향상시키는 데 도움이 될 수 있음을 보여줍니다.,Formal,New discoveries suggest that exposure to natural sunlight may help regulate circadian rhythm and improve sleep quality.,Complex,Health & Wellness,,,,,,
"Badania wykazują, że 60% dorosłych Polaków cierpi na zaburzenia snu, co wpływa negatywnie na ich zdrowie psychiczne i fizyczne.","연구에 따르면 성인 폴란드인의 60%가 정신 및 신체 건강에 부정적인 영향을 미치는 수면 장애를 앓고 있다.
",,연구에 따르면 성인 폴란드인의 60%가 정신 및 신체 건강에 부정적인 영향을 미치는 수면 장애를 앓고 있습니다.,연구에 따르면 성인 폴란드인의 60%가 정신 및 신체 건강에 부정적인 영향을 미치는 수면 장애를 앓고 있다.,"연구에 따르면 성인 폴란드인의 60 %가 수면 장애로 고통 받고 있으며, 이는 정신적 및 신체적 건강에 부정적인 영향을 미칩니다.",Formal,연구는 수면 장애로 고통받는 성인 극의 60 %가 정신 건강과 신체 건강에 영향을 미칩니다.,Formal,"연구에 따르면 성인 폴란드의 60%가 수면 장애로 고통 받고 있으며 이는 정신적,육체적 건강에 부정적인 영향을 미칩니다.",Formal,"Research shows that 60% of adult Poles suffer from sleep disorders, which negatively affects their mental and physical health.",Complex,Health & Wellness,ChatGPT,,,,,
"Statystyki pokazują, że osoby, które jedzą regularnie śniadanie, mają mniejsze ryzyko otyłości i chorób serca.","통계에 따르면 규칙적으로 아침을 먹는 사람들은 비만과 심장병에 걸릴 위험이 더 낮다.
",,통계에 따르면 규칙적으로 아침을 먹는 사람들은 비만과 심장병에 걸릴 위험이 더 낮습니다.,통계에 따르면 규칙적으로 아침을 먹는 사람들은 비만과 심장병에 걸릴 위험이 더 낮다.,통계에 따르면 정기적으로 아침 식사를하는 사람들은 비만과 심장 질환의 위험이 낮습니다.,Formal,"통계는 정기적으로 아침 식사를 먹는 사람, 위험과 심장 질환이 적습니다.",Formal,통계에 따르면 정기적으로 아침 식사를하는 사람들은 비만과 심장 질환의 위험이 낮습니다.,Formal,Statistics show that people who regularly eat breakfast have a lower risk of obesity and heart disease.,Complex,Health & Wellness,ChatGPT,,,,,
"Nowe badania sugerują, że regularne ćwiczenia oddechowe mogą pomóc w łagodzeniu objawów astmy u dzieci.",새로운 연구에 따르면 규칙적인 호흡 운동이 어린이의 천식 증상 완화에 도움이 될 수 있다.,,새로운 연구에 따르면 규칙적인 호흡 운동이 어린이의 천식 증상 완화에 도움이 될 수 있습니다.,새로운 연구에 따르면 규칙적인 호흡 운동이 어린이의 천식 증상 완화에 도움이 될 수 있다.,새로운 연구에 따르면 정기적 인 호흡 운동은 어린이의 천식 증상을 완화하는 데 도움이 될 수 있습니다.,Formal,새로운 연구는 일반 호흡 운동이 위장 증상에 도움이 될 수 있음을 제안합니다.,Formal,새로운 연구에 따르면 정기적 인 호흡 운동은 어린이의 천식 증상을 완화하는 데 도움이 될 수 있습니다.,Formal,New research suggests that regular breathing exercises may help alleviate symptoms of asthma in children,Complex,Health & Wellness,ChatGPT,,,,,
"Zbyt duża ilość soli w diecie może prowadzić do wzrostu ciśnienia krwi i zwiększenia ryzyka chorób serca, a z kolei zbyt mała ilość soli może prowadzić do niedoborów elektrolitów i innych problemów zdrowotnych.",식단에 소금이 너무 많으면 고혈압과 심장 질환의 위험이 증가할 수 있으며 소금이 너무 적으면 전해질 결핍 및 기타 건강 문제가 발생할 수 있다.,식단에 나트륨이 너무 많으면 고혈압과 심장 질환의 위험이 증가할 수 있으며 소금이 너무 적으면 전해질 결핍 및 기타 건강 문제가 발생할 수 있다.,식단에 나트륨이 너무 많으면 고혈압과 심장 질환의 위험이 증가할 수 있으며 소금이 너무 적으면 전해질 결핍 및 기타 건강 문제가 발생할 수 있습니다.,식단에 나트륨이 너무 많으면 고혈압과 심장 질환의 위험이 증가할 수 있으며 소금이 너무 적으면 전해질 결핍 및 기타 건강 문제가 발생할 수 있다.,"다이어트에서 너무 많은 소금은 혈압을 증가시키고 심장 질환의 위험을 증가시킬 수 있으며, 너무 적은 소금은 전기 결핍과 다른 건강 문제로 이어질 수 있습니다.",Formal,"식단에 다량의 소금은 혈압의 증가에 지도하고 심장병의 위험을 증가할 수 있고, 너무 많은 소금은 충분한 전해질 및 다른 건강 문제에 지도할 수 있습니다.",Formal,식단에 소금이 너무 많으면 고혈압과 심장 질환의 위험이 증가 할 수 있으며 소금이 너무 적 으면 전해질 결핍 및 기타 건강 문제가 발생할 수 있습니다.,Formal,"Too much salt in the diet can lead to high blood pressure and increased risk of heart disease, while too little salt can lead to electrolyte deficiencies and other health problems.",Compound Complex,Health & Wellness,ChatGPT,,,,,
Spójne medytowanie może pomóc zmniejszyć objawy depresji i lęku poprzez zwiększenie świadomości siebie i wprowadzenie spokoju i wyciszenia w codziennym życiu.,일관된 명상은 자기 인식을 높이고 평온함과 평온함을 일상 생활에 도입함으로써 우울증과 불안 증상을 줄이는 데 도움이 될 수 있다고 한다.,일관된 명상은 자기 인식을 높이고 평온함과 평온함을 일상 생활에 도입함으로써 우울증과 불안 증상을 줄이는 데 도움이 될 수 있다.,일관된 명상은 자기 인식을 높이고 평온함과 평온함을 일상 생활에 도입함으로써 우울증과 불안 증상을 줄이는 데 도움이 될 수 있습니다.,일관된 명상은 자기 인식을 높이고 평온함과 평온함을 일상 생활에 도입함으로써 우울증과 불안 증상을 줄이는 데 도움이 될 수 있다.,"일관된 명상은 우울증과 불안의 증상을 줄이는 데 도움이 될 수 있으며, 자기 인식을 높이고 일상 생활에 평화와 우울증을 가져올 수 있습니다.",Formal,명상은 의식과 노화를 증가시켜 우울증과 불안을 줄일 수 있습니다.,Formal,일관된 명상은 자기 인식을 높이고 일상 생활에 평화와 평온을 가져다줌으로써 우울증과 불안의 증상을 줄이는 데 도움이 될 수 있습니다.,Formal,Consistent meditation can help reduce symptoms of depression and anxiety by increasing self-awareness and introducing calm and serenity into daily life.),Compound Complex,Health & Wellness,,,,,,
"Nieprawidłowa postawa podczas siedzenia lub stania może prowadzić do bólu pleców i innych problemów związanych z kręgosłupem, dlatego ważne jest, aby utrzymywać dobrą postawę i regularnie wykonywać ćwiczenia wzmacniające mięśnie.",앉거나 서 있는 동안의 잘못된 자세는 허리 통증 및 기타 척추 관련 문제로 이어질 수 있으므로 올바른 자세를 유지하고 정기적으로 근력 강화 운동을 하는 것이 중요하다.,앉거나 서 있는 동안의 잘못된 자세는 허리 통증 및 기타 척추 관련 문제로 이어질 수 있으므로 올바른 자세를 유지하고 정기적으로 근력 강화 운동을 하는 것이 중요하다.,앉거나 서 있는 동안의 잘못된 자세는 허리 통증 및 기타 척추 관련 문제로 이어질 수 있으므로 올바른 자세를 유지하고 정기적으로 근력 강화 운동을 하는 것이 중요합니다.,앉거나 서 있는 동안의 잘못된 자세는 허리 통증 및 기타 척추 관련 문제로 이어질 수 있으므로 올바른 자세를 유지하고 정기적으로 근력 강화 운동을 하는 것이 중요하다.,앉아 있거나 서있는 동안 불규칙한 태도는 등 통증과 척추와 관련된 다른 문제로 이어질 수 있으므로 좋은 태도를 유지하고 정기적으로 근육 강화 운동을하는 것이 중요합니다.,Formal,"사실, 잘못된 태도 또는 조건은 척추와 관련된 허리와 다른 문제의 통증으로 이어질 수 있으므로 중요한 것은 좋은 태도를 유지하고 정기적으로 근육을 운동하는 것입니다.",Formal,앉거나 서있을 때 잘못된 자세는 허리 통증 및 척추와 관련된 기타 문제로 이어질 수 있으므로 좋은 자세를 유지하고 정기적으로 근육 강화 운동을 수행하는 것이 중요합니다.,Formal,"Improper posture while sitting or standing can lead to back pain and other spine-related problems, so it is important to maintain good posture and regularly perform muscle-strengthening exercises.",Compound Complex,Health & Wellness,,,,,,
